O que é ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente?	Prof. Dr. Geraldo A. R. Ramos 1Geraldo Ramos, BSc, MSc, PhD
Resuma: Consolidação da aula 35 ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 10.	Consolidação da aula 35 ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 10. Sobre a viscosidade do óleo: SIM NÃO a) Mede a resistência ao escoamento b) Diminui com o aumento da temperatura c) Aumenta sempre com a pressão d) Influencia a produção de petróleo e) Não depende da composição
Resuma: Tarefa ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 36	Tarefa ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 36
O que é A massa específica de uma determinada substância?	igual a 740kg/m³, determine o volume ocupado por uma massa de 500kg dessa substância
Resuma: ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD Exercícios 1.	ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD Exercícios 1. Um reservatório cilíndrico possui diâmetro de base igual a 2m e altura de 4m, sabendo-se que o mesmo está totalmente preenchido com petróleo bruto, determine: a) A massa de petróleo bruto presente no reservatório; b) A massa de gasolina se um outro reservatório com as mesmas dimensões for preenchido pela gasolina. 2. A massa específica de uma determinada substância é igual a 740kg/m³, determine o volume ocupado por uma massa de 500kg dessa substância. 3. Sabe-se que 400kg de um líquido ocupa um reservatório com volume de 1500 litros, determine sua massa específica, seu peso específico e o peso específico relativo. Dados: ꙋH2O = 10000N/m³, g = 10m/s², 1000 litros = 1m³. 4. Calcular a densidade relativa e em API do óleo com a massa específica de 53 lb/ft3 5. Determinar a densidade e a massa específica do óleo de 42 oAPI. 37
O que é (a) Uma determinada massa de gáss tem um volume de 510 ft3 quando a temperatura?	60 ºF e a pressão é 12 psig
Resuma: Exrcícios ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 6.	Exrcícios ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 6. (a) Uma determinada massa de gáss tem um volume de 510 ft3 quando a temperatura é 60 ºF e a pressão é 12 psig. Se a pressão é constante, mas a temperatura é alterada para 110 ºF, qual será o volume do gás? A pressão atmosférica pode ser conciderada como 14,73 psia. (b) Qual será a nova pressão do gás se o volume mantém constante e a temperature aumenta de 60 para 110 ºF como indicado? 7. (a) Quantos pés cúbicos de um gás ideal medida em condições padrão de 60 F e 14,73 psia, necessário para preencher tanque de 100 ft3 para a pressão de 40 psia quando a temperatura de gás no tanque é de 90 ºF? A pressão atmosférica é 14,4 psia. (b) qual seria a leitura no manômetro se o tanque no exemplo acima for resfriado para 60 ºF após ser preenchido com o gás ideal? 38
O que são A pressão e temperatura médias do reservatório?	1
Resuma: Exrcícios ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 8.	Exrcícios ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 8. Um poço de gás está produzindo gás com uma densidade de 0,65 a uma vazão de 1,1 MMscf / dia. A pressão e temperatura médias do reservatório são 1.500 psi e 150 ° F. Calcular: a) Massa molecular aparente do gás b) Massa específica do gás nas condições de reservatório. c) Vazão do fluxo em lb/dia 9. Um poço de gás está produzindo gás natural com a seguinte composição: Componente Fórmula Abreviação yi Dióxido de Carbono CO2 CO2 0,05 Metano CH4 C1 0,90 Etano C2H6 C2 0,03 Propano C3H8 C3 0,02 Assumindo um comportamento de gás ideal, calcule a) Massa molecular aparente. b) Densidade do gás. c) Massa específica do gás a 2.000 psia e 150 ° F d) Volume específico a 2.000 psia e 150 ° F 39
Resuma: TAREFA 10.	TAREFA 10. Explique a diferença entre misturas e soluções no contexto de fluidos de reservatório. 11. Classifique as misturas e explique a sua importância na engenharia de reservatórios. 12. Explique o significado do grau API e a sua relevância industrial. 13. Discuta a influência da viscosidade do óleo na produção de petróleo. 14. Fundamentar as questões correctas e incorrectas dos exercícios de consolidação. ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 40
Resuma: BIBLIOGRAFIA ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 1 - ROSA, A.	BIBLIOGRAFIA ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 1 - ROSA, A. J.; CARVALHO, R. D. S.; XAVIER, J. A. D. Engenharia de Reservatórios de Petróleo. 1ª. ed. Rio de Janeiro: Interciência, 2006, 808 p.. 2 - DAKE, L. P. Engenharia de Reservatórios: fundamentos. 1ª. ed. Rio de Janeiro: Elsevier, 2014, 488 p.. 3 - MCCAIN, W. D. The Properties of Petroleum Fluids. 2nd. ed. Tulsa: PennWell Books, 1990. 548 p.. 4 - AHMED, T. H. Reservoir Engineering Handbook. 3rd. ed. Burlington, MA, USA: Gulf Professional Publishing, Elsevier, 2010. 1376 p. 5-Terry, R. E., Rogers, J. B., & Craft, B. C. (2015). Applied petroleum reservoir engineering. Pearson Education. 6. Alyafei, Nayef. "Fundamentals of Reservoir Rock Properties." (2019). 7 - Ramos, G. Indústria do Petróleo para Não-Enegeiros. Editora DOIS03, 2023 41
Resuma: MUITO OBRIGADA!	MUITO OBRIGADA! 42 ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD
O que é ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente?	Prof. Dr. Geraldo A. R. Ramos 1Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD
Resuma: ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente: Prof.	ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente: Prof. Dr. Geraldo A. R. Ramos 1Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD
Resuma: Propriedades dos Fluídos de Reservatório  2.1.	Propriedades dos Fluídos de Reservatório  2.1. Introdução  2.2. Misturas e soluções;  2.3. Propriedades básicas dos fluidos;  2.3.1. Propriedades de Óleo  2.3.2. Propriedades dos Gases  2.3.4. Propriedades de Misturas de Hidrocarbonetos  2.4. Consolidação da Aula  2.5. Tarefas 2 Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD
O que é Gás ideal?	um fluido hipotético que obedece as seguintes condições:  O volume ocupado pelas moléculas é insignificante quando comparado com o volume total do fluido  Não existem forças atrativas ou repulsivas entre as moléculas ou entre as moléculas e as paredes do recipiente que contém o fluido
Resuma: ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD  Os gases podem ser classificados como gases ideais ou gases reais:  Gás ideal é um fluido hipotético que obedece as seguintes condições:  O volume ocupado pelas moléculas é insignificante quando comparado com o volume total do fluido  Não existem forças atrativas ou repulsivas entre as moléculas ou entre as moléculas e as paredes do recipiente que contém o fluido.	ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD  Os gases podem ser classificados como gases ideais ou gases reais:  Gás ideal é um fluido hipotético que obedece as seguintes condições:  O volume ocupado pelas moléculas é insignificante quando comparado com o volume total do fluido  Não existem forças atrativas ou repulsivas entre as moléculas ou entre as moléculas e as paredes do recipiente que contém o fluido.  As colisões entre moléculas são perfeitamente elásticas.  Os gases ideais: Gases são considerados como ideais quando submetidos a baixas pressões e altas temperaturas Lei Avogadro (Gay-Lussac), que afirma que volumes iguais de diferentes gases ideais na mesma pressão e temperatura contêm o mesmo número de moléculas 32.3.2. Propriedades dos gases
O que é Lei de Dalton?	também conhecida como lei das pressões parciais
Resuma: ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD  Lei de Dalton é também conhecida como lei das pressões parciais.	ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD  Lei de Dalton é também conhecida como lei das pressões parciais. Esta lei afirma que quando vários gases ideais formam uma mistura observando as seguintes propriedades:  Cada gás exerce uma pressão igual à que exerceria caso estivess só no recipiente.  A pressão total é igual à soma das pressões de cada gás. 𝑦𝑖 = 𝑛𝑖 𝑛 = 𝑝𝑖 𝑝  Robert Boyle – Mariotte: o volume ocupado por uma determinada massa de um gás ideal será inversamente proporcional à pressão, se a temperatura for constante: 𝑉~ 1 𝑝 𝑜𝑢 𝑝𝑉 = 𝑐𝑜𝑛𝑠𝑡𝑎𝑛𝑡𝑒 𝑝1 𝑝2 = 𝑉2 𝑉1  Lei de Charles: O volume ocupado por uma determinada massa de um gás ideal será directamente proporcional à temperatura, se a pressão for constante: 𝑉~𝑇 𝑜𝑢 𝑉 𝑇 = 𝑐𝑜𝑛𝑠𝑡𝑎𝑛𝑡𝑒 𝑉1 𝑉2 = 𝑇1 𝑇2 42.3.2. Propriedades dos gases
O que é PhD Equação de estado?	uma expressão que relaciona a pressão, a temperatura e o volume de um gás ou líquido
Resuma: ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD Equação de estado é uma expressão que relaciona a pressão, a temperatura e o volume de um gás ou líquido.	ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD Equação de estado é uma expressão que relaciona a pressão, a temperatura e o volume de um gás ou líquido. Combinando as leis de Charles, Boyle-Mariotte e Advogadro, obtém-se uma equação de estado para um gás ideal. Inicialmente aplicam-se conjuntamente as leis de Boyle-Mariote e de Charles para descrever a passagem de um gás de estado 1 para estado 2, ou seja: p1, V1, T1 p2, V2, T2 ESTADO 1 ESTADO 2 𝑝1𝑉1 𝑇1 = 𝑝2𝑉2 𝑇2 Considerando que o volume molar de gás é Vm e R como uma constante do gás, então teremos a seguinte equação: 𝑝𝑉𝑚 𝑇 = 𝑐𝑜𝑛𝑠𝑡𝑎𝑡𝑒= 𝑅 Para o número n mols de gás tem-se: 𝑝𝑉 = 𝑛𝑅𝑇 52.3.2.1. Equação de Estado dos gases 2.3.2.1.1. Equação de Estado dos gases ideias
Resuma: ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD Aplicando os conceitos da massa de um número de mols de gás e massa específica na equação de estado, tem-se: 𝝆 = 𝒑𝑴 𝑹𝑻Onde: 𝜌 = 𝑚 𝑉 𝑒 𝑛 = 𝑚 𝑀 Usando o conceito de densidade e assumindo que as massas específicas do gás e ar foram medidas nas mesmas condições de temperatura e pressão, tem-se: 𝜸 = 𝝆𝒈 𝝆𝒂𝒓 = 𝑴𝒈 𝑴𝒂𝒓 62.3.2.1.1.	ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD Aplicando os conceitos da massa de um número de mols de gás e massa específica na equação de estado, tem-se: 𝝆 = 𝒑𝑴 𝑹𝑻Onde: 𝜌 = 𝑚 𝑉 𝑒 𝑛 = 𝑚 𝑀 Usando o conceito de densidade e assumindo que as massas específicas do gás e ar foram medidas nas mesmas condições de temperatura e pressão, tem-se: 𝜸 = 𝝆𝒈 𝝆𝒂𝒓 = 𝑴𝒈 𝑴𝒂𝒓 62.3.2.1.1. Equação de Estado dos gases ideias
O que é Qual?	o volume ocupado por um mol-lb de um gás ideal quando submetido a uma pressão de 110 psia e a uma temperatura de 92 ºF? 2
Resuma: Exemplos ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 1.	Exemplos ENGENHARIA DE RESERVATÓRIOS - I GERALDO RAMOS, BSc, MSc, PhD 1. Qual é o volume ocupado por um mol-lb de um gás ideal quando submetido a uma pressão de 110 psia e a uma temperatura de 92 ºF? 2. A quantidade de gás para a pressão de 60 psig tem um volume de 1.100 ft 3. Se o gás é comprimido à 105 psig. Que volume será ocupado pelo gás? Assumi que pressão barométrica é 14.73 psia e a temperatura do gás mantém constante. 7
O que é Onde z?	o factor de compressibilidade ou factor de desvio de gases reais  O factor de compressibilidade z e definido como a relação entre o volume que uma dada massa de gás ocupa em certas condiçõess de pressão e temperatura e o volume que essa massa ocuparia nas mesmas condições de temperatura e pressão se fosse um gas ideal
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 8  Para gases reais a equação de estado toma a seguinte forma: 𝑝𝑉 = 𝑧𝑛𝑅𝑇  Onde z é o factor de compressibilidade ou factor de desvio de gases reais  O factor de compressibilidade z e definido como a relação entre o volume que uma dada massa de gás ocupa em certas condiçõess de pressão e temperatura e o volume que essa massa ocuparia nas mesmas condições de temperatura e pressão se fosse um gas ideal.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 8  Para gases reais a equação de estado toma a seguinte forma: 𝑝𝑉 = 𝑧𝑛𝑅𝑇  Onde z é o factor de compressibilidade ou factor de desvio de gases reais  O factor de compressibilidade z e definido como a relação entre o volume que uma dada massa de gás ocupa em certas condiçõess de pressão e temperatura e o volume que essa massa ocuparia nas mesmas condições de temperatura e pressão se fosse um gas ideal. 𝑧 = 𝑉𝑟𝑒𝑎𝑙 𝑉𝑖𝑑𝑒𝑎𝑙  Para o gás em condicções ou estados 1 ou 2: 𝑝1𝑉1 𝑧1𝑇1 = 𝑝2𝑉2 𝑧2𝑇2  O factor de compressibilidade z varia com a composição de gás, com a temperatura e com a pressão.  Os valores de compressibilidade podem ser aproximados com uma boa precisão usando tabelas ou gráficos obtidos experimentalmente ou usando as propriedades pseudo-reduzidas de pressão e temperatura, mediante gráficos ou correlações. Nota: Erros de até 500% são observados no uso da equação de estado do gás ideal para pressões mais altas, comparando com erros de 2–3% na pressão atmosférica. 2.3.2.1.2. Equação de Estado dos Gases Reais
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 9 𝑝𝑝𝑐 = ෍ 𝑖=1 𝑛𝑐 𝑦𝑖𝑝𝑐𝑖 𝑇𝑝𝑐 = σ𝑖=1 𝑛𝑐 𝑦𝑖𝑇𝑐𝑖 𝑝𝑝𝑟 = 𝑝 𝑝𝑝𝑐 𝑇𝑝𝑟 = 𝑇 𝑇𝑝𝑐 GRÁFICO DE STANDING AND KATZPRESSÃO E TEMPERATURA PSEUDO-REDUZIDAS 2.3.2.1.2.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 9 𝑝𝑝𝑐 = ෍ 𝑖=1 𝑛𝑐 𝑦𝑖𝑝𝑐𝑖 𝑇𝑝𝑐 = σ𝑖=1 𝑛𝑐 𝑦𝑖𝑇𝑐𝑖 𝑝𝑝𝑟 = 𝑝 𝑝𝑝𝑐 𝑇𝑝𝑟 = 𝑇 𝑇𝑝𝑐 GRÁFICO DE STANDING AND KATZPRESSÃO E TEMPERATURA PSEUDO-REDUZIDAS 2.3.2.1.2. Equação de Estado dos Gases Reais
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 1 0 CONSTANTES FÍSICAS PARA COMPONENTES PUROS 2.3.2.1.2.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 1 0 CONSTANTES FÍSICAS PARA COMPONENTES PUROS 2.3.2.1.2. Equação de Estado dos Gases Reais
O que é 6𝛾𝑔2 onde 𝜸𝒈?	a densidade da mistura gasosa NOTA: Mais correlações na página 43 do Vol 2
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 1 1CORRELAÇÕES Sistema de Gás Natural - Gás Natural Seco (Standing, 1977): 𝑝𝑝𝑐 𝑝𝑠𝑖𝑎 = 677,0 + 15,0𝛾𝑔 − 37,5𝛾𝑔2 𝑇𝑝𝑐 °𝑅 = 168,0 + 325,0𝛾𝑔 − 12,5𝛾𝑔2 Gás natural húmido, gás de reservatório de óleo ou condensado (Standing, 1977): 𝑝𝑝𝑐 𝑝𝑠𝑖𝑎 = 706,0 − 51,7𝛾𝑔 − 11,1𝛾𝑔2 𝑇𝑝𝑐 °𝑅 = 187,0 + 330,0𝛾𝑔 − 71,5𝛾𝑔2 Gás natural húmido, gás de reservatório de óleo ou condensado (Sutton): 𝑝𝑝𝑐 𝑝𝑠𝑖𝑎 = 169,2 + 349,5𝛾𝑔 − 74,0𝛾𝑔2 𝑇𝑝𝑐 °𝑅 = 756,8 − 131,07𝛾𝑔 − 3,6𝛾𝑔2 onde 𝜸𝒈 é a densidade da mistura gasosa NOTA: Mais correlações na página 43 do Vol 2.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 1 1CORRELAÇÕES Sistema de Gás Natural - Gás Natural Seco (Standing, 1977): 𝑝𝑝𝑐 𝑝𝑠𝑖𝑎 = 677,0 + 15,0𝛾𝑔 − 37,5𝛾𝑔2 𝑇𝑝𝑐 °𝑅 = 168,0 + 325,0𝛾𝑔 − 12,5𝛾𝑔2 Gás natural húmido, gás de reservatório de óleo ou condensado (Standing, 1977): 𝑝𝑝𝑐 𝑝𝑠𝑖𝑎 = 706,0 − 51,7𝛾𝑔 − 11,1𝛾𝑔2 𝑇𝑝𝑐 °𝑅 = 187,0 + 330,0𝛾𝑔 − 71,5𝛾𝑔2 Gás natural húmido, gás de reservatório de óleo ou condensado (Sutton): 𝑝𝑝𝑐 𝑝𝑠𝑖𝑎 = 169,2 + 349,5𝛾𝑔 − 74,0𝛾𝑔2 𝑇𝑝𝑐 °𝑅 = 756,8 − 131,07𝛾𝑔 − 3,6𝛾𝑔2 onde 𝜸𝒈 é a densidade da mistura gasosa NOTA: Mais correlações na página 43 do Vol 2. Indústria do Gás Natural de Geraldo Ramos 2.3.2.1.2. Equação de Estado dos Gases Reais
O que é Valor?	equivalente a 4ppm por volume
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 1 2 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS  Principais não hidrocarbonetos: Dióxido de Carbono (CO2), Sulfado de Hidrogénio (H2S), Nitrogénio (N2), Enxofre (S).	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 1 2 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS  Principais não hidrocarbonetos: Dióxido de Carbono (CO2), Sulfado de Hidrogénio (H2S), Nitrogénio (N2), Enxofre (S).  Não hidrocarbonetos influenciam na composição de gás natural. Por exemplo, tornando-o como ácido ou não ácido (doce):  Gás natural ácido:  Apresenta mais de 5,7 milhões de H2S por metro cúbico de gás. Valor é equivalente a 4ppm por volume;  Excesso de composto de Enxofre;  Quantidade considerável de CO2 2.3.2.1.2. Equação de Estado dos Gases Reais
O que é onde A?	a soma das fracções molares de H2S e CO2
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 13 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS  Correção das propriedades pseudo-reduzidas com a presença de não hidrocarbonetos 𝒑𝒑𝒓 = 𝒑 ƴ𝒑𝒑𝒄 , 𝑻𝒑𝒓 = 𝑻 ሖ𝑻𝒑𝒄  Wichert e Aziz (1972) desenvolveram fórmulas matemáticas para ajustar a presença de H2S e CO2 no gás: 𝑨 = 𝒚𝑯𝟐𝑺 + 𝒚𝑪𝑶𝟐  onde A é a soma das fracções molares de H2S e CO2; B a fracção molar de H2S; ϵ o ajustamento da temperatura pseudocrítica; T’pc a temperatura pseudocrítica corrigida em ◦R; p’pc a pressão pseudocrítica corrigida em psia.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 13 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS  Correção das propriedades pseudo-reduzidas com a presença de não hidrocarbonetos 𝒑𝒑𝒓 = 𝒑 ƴ𝒑𝒑𝒄 , 𝑻𝒑𝒓 = 𝑻 ሖ𝑻𝒑𝒄  Wichert e Aziz (1972) desenvolveram fórmulas matemáticas para ajustar a presença de H2S e CO2 no gás: 𝑨 = 𝒚𝑯𝟐𝑺 + 𝒚𝑪𝑶𝟐  onde A é a soma das fracções molares de H2S e CO2; B a fracção molar de H2S; ϵ o ajustamento da temperatura pseudocrítica; T’pc a temperatura pseudocrítica corrigida em ◦R; p’pc a pressão pseudocrítica corrigida em psia. 2.3.2.1.2. Equação de Estado dos Gases Reais
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 14 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS - Wichert e Aziz (1972) PASSOS COMPUTACIONAIS 1.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 14 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS - Wichert e Aziz (1972) PASSOS COMPUTACIONAIS 1. Calcule as propriedades pseudo-críticas da mistura do gás (Correlações). 2. Calcule o ajustamento da temperatura pseudocrítica (ϵ). 3. Ajuste as propriedades pseudocríticas do ponto 1 (p’pc e T’pc). 4. Calcule as propriedades pseudo-reduzidas (𝒑𝒑𝒓 = 𝒑 ƴ𝒑𝒑𝒄 , 𝑻𝒑𝒓 = 𝑻 ሖ𝑻𝒑𝒄 ). 5. Calcule o factor de compressibilidade do gás usando a figura de compressibilidade de gás (Standing & Katz). O ajustamento da temperatura pseudocritica ϵ 2.3.2.1.2. Equação de Estado dos Gases Reais
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 15 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS - Carr, Kobayashi e Burrows (1954) Nota: Consultar o Vol.2 da Indústria do Gás Natural (Ramos, 2020), página 50 sobre os procedimentos.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 15 EFEITOS DOS NÃO HIDROCARBONETOS NO FACTOR Z DE GÁS - Carr, Kobayashi e Burrows (1954) Nota: Consultar o Vol.2 da Indústria do Gás Natural (Ramos, 2020), página 50 sobre os procedimentos. OUTRAS 2.3.2.1.2. Equação de Estado dos Gases Reais
O que é t?	o inverso da temperatura pseudo-reduzida (Tpc/T) e Y é a densidade reduzida que pode ser determinada na equação não linear seguinte: 𝑋2 = −𝑌 + 1 𝑌 + 1 𝑌 1 − 𝑌 3 𝑋3 = − 4,58𝑡 − 9,76 𝑡 + 14,76 𝑡𝑌2 𝑋4 = 42,4𝑡 − 242,2 𝑡 + 90,7 𝑡𝑌 2,18+2,82𝑡 NOTA: Não é válida para temperaturas pseudo-reduzidas < 1 Consultar os procedimentos na página 53 (Vol
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 16 FACTOR Z DO GÁS - CORRELAÇÃO DE Hall e Yarborough (1973) ppr e a pressao pseudo-reduzida, t é o inverso da temperatura pseudo-reduzida (Tpc/T) e Y é a densidade reduzida que pode ser determinada na equação não linear seguinte: 𝑋2 = −𝑌 + 1 𝑌 + 1 𝑌 1 − 𝑌 3 𝑋3 = − 4,58𝑡 − 9,76 𝑡 + 14,76 𝑡𝑌2 𝑋4 = 42,4𝑡 − 242,2 𝑡 + 90,7 𝑡𝑌 2,18+2,82𝑡 NOTA: Não é válida para temperaturas pseudo-reduzidas < 1 Consultar os procedimentos na página 53 (Vol.2 do Gás Natural) ou página 105 Aplicação de VBA nos fundamentos da Engenharia de petróleos – G.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 16 FACTOR Z DO GÁS - CORRELAÇÃO DE Hall e Yarborough (1973) ppr e a pressao pseudo-reduzida, t é o inverso da temperatura pseudo-reduzida (Tpc/T) e Y é a densidade reduzida que pode ser determinada na equação não linear seguinte: 𝑋2 = −𝑌 + 1 𝑌 + 1 𝑌 1 − 𝑌 3 𝑋3 = − 4,58𝑡 − 9,76 𝑡 + 14,76 𝑡𝑌2 𝑋4 = 42,4𝑡 − 242,2 𝑡 + 90,7 𝑡𝑌 2,18+2,82𝑡 NOTA: Não é válida para temperaturas pseudo-reduzidas < 1 Consultar os procedimentos na página 53 (Vol.2 do Gás Natural) ou página 105 Aplicação de VBA nos fundamentos da Engenharia de petróleos – G. Ramos. 2.3.2.1.2. Equação de Estado dos Gases Reais
O que é huk e Bou-Kassem (1975) Correlação baseada na massa específica reduzida do gás e?	definida como sendo a razão entre a massa específica de gás a dada temperatura e pressão crítica, ou seja[1]: 𝜌𝑟 = 0,27𝑝𝑝𝑟 𝑧𝑇𝑝𝑟 Os autores propuseram as seguintes equações de estado para calcular o factor de z: Nota: Ver os procedimentos na pág
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 17 FACTOR Z DO GÁS – CORRELAÇÃO DE Dranchuk e Bou-Kassem (1975) Correlação baseada na massa específica reduzida do gás e é definida como sendo a razão entre a massa específica de gás a dada temperatura e pressão crítica, ou seja[1]: 𝜌𝑟 = 0,27𝑝𝑝𝑟 𝑧𝑇𝑝𝑟 Os autores propuseram as seguintes equações de estado para calcular o factor de z: Nota: Ver os procedimentos na pág.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 17 FACTOR Z DO GÁS – CORRELAÇÃO DE Dranchuk e Bou-Kassem (1975) Correlação baseada na massa específica reduzida do gás e é definida como sendo a razão entre a massa específica de gás a dada temperatura e pressão crítica, ou seja[1]: 𝜌𝑟 = 0,27𝑝𝑝𝑟 𝑧𝑇𝑝𝑟 Os autores propuseram as seguintes equações de estado para calcular o factor de z: Nota: Ver os procedimentos na pág. 53 do Vol.2 da Indústria do Gás Natural ou 107 da Aplicação de VBA- G. Ramos. Válido para 1,05 ≤ Tpr ≤ 3,0; 0,2 ≤ Ppr ≤ 3,0 2.3.2.1.2. Equação de Estado dos Gases Reais
Resuma: Exemplos Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 18 Um reservatório de gás com pressão e temperatura iniciais de 3.000 psia e 180 ◦F apresenta a seguinte composição: 1.	Exemplos Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 18 Um reservatório de gás com pressão e temperatura iniciais de 3.000 psia e 180 ◦F apresenta a seguinte composição: 1. Calcule a compressibilidade de gás sob as condições iniciais do reservatório. 2. Assumindo o comportamento de gas real, calcule a massa específica da fase de gás sob condições iniciais do reservatório e compare os resultados com o de comportamento de gas ideal. 3. Torne a resolver a pergunta 2 usando as correlações de Standing para resolver as propriedades pseudo- críticas.
Resuma: 2.3.2.2.	2.3.2.2. Factor volume de formação do Gás Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 19 Factor volume-formação do gás – relação entre o volume que ele ocupa em uma determinada condição de temperatura e pressão e o volume por ele ocupado nas condições-padrão.
Resuma: Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 20 2.3.2.2.	Engenharia de Reservatórios Geraldo Ramos, BSc, MSc, PhD 20 2.3.2.2. Factor volume de formação do Gás
